ontology,root,fragment,text,llm_text,model,statements,unique_concepts,unique_relationships,total_relationships,http://www.w3.org/2002/07/owl#disjointWith,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#onProperty,http://www.w3.org/2002/07/owl#someValuesFrom,http://www.w3.org/2002/07/owl#allValuesFrom,http://www.w3.org/2002/07/owl#unionOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2002/07/owl#intersectionOf,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#minCardinality,http://www.w3.org/2002/07/owl#hasValue,http://www.w3.org/2002/07/owl#oneOf,http://www.w3.org/2002/07/owl#complementOf
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#DeepPanBase,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:deep_pan_base a owl:Class ;
    rdfs:subClassOf :pizza_base ;
    owl:disjointWith :thin_and_crispy_base .

","deep pan base is a type of a pizza base.
deep pan base is different from a thin and crispy base.",A deep pan base is a type of pizza base that is distinct from a thin and crispy base.,gpt-4o,2,4,3,3,1.0,1,1.0,,,,,,,,,,,,,,
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Capricciosa,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:capricciosa a owl:Class ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :peperonata_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :olive_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :caper_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :mozzarella_topping ],
        [ a owl:Restriction ;
            owl:allValuesFrom [ a owl:Class ;
                    owl:unionOf [ rdf:first :tomato_topping ;
                            rdf:rest [ rdf:first :ham_topping ;
                                    rdf:rest [ rdf:first :mozzarella_topping ;
                                            rdf:rest [ rdf:first :anchovies_topping ;
                                                    rdf:rest [ rdf:first :olive_topping ;
                                                            rdf:rest [ rdf:first :peperonata_topping ;
                                                                    rdf:rest [ rdf:first :caper_topping ;
                                                                            rdf:rest :nil ] ] ] ] ] ] ] ] ;
            owl:onProperty :has_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :anchovies_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :ham_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :tomato_topping ],
        :named_pizza ;
    owl:disjointWith :american,
        :american_hot,
        :cajun,
        :caprina,
        :fiorentina,
        :four_seasons,
        :frutti_di_mare,
        :giardiniera,
        :la_reine,
        :margherita,
        :mushroom,
        :napoletana,
        :parmense,
        :pollo_ad_astra,
        :prince_carlo,
        :quattro_formaggi,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :unclosed_pizza,
        :veneziana .

","capricciosa is a type of a named pizza.
capricciosa is a type of at least has topping some a caper topping.
capricciosa is a type of at least has topping some a ham topping.
capricciosa is a type of at least has topping some a mozzarella topping.
capricciosa is a type of at least has topping some a peperonata topping.
capricciosa is a type of at least has topping some a tomato topping.
capricciosa is a type of at least has topping some an anchovies topping.
capricciosa is a type of at least has topping some an olive topping.
capricciosa is a type of only has topping any of (a tomato topping, and a ham topping, and a mozzarella topping, and an anchovies topping, and an olive topping, and a peperonata topping, and a caper topping).
capricciosa is different from (a la reine, and a frutti di mare, and a fiorentina, and a margherita, and a sloppy giuseppe, and a veneziana, and an american hot, and an unclosed pizza, and a mushroom, and a pollo ad astra, and a caprina, and a cajun, and a giardiniera, and an american, and a prince carlo, and a siciliana, and a parmense, and a rosa, and a soho, and a quattro formaggi, and a four seasons, and a napoletana).","Capricciosa is a specific type of pizza that includes a variety of toppings. It must have at least some capers, ham, mozzarella, peperonata, tomatoes, anchovies, and olives. Additionally, it exclusively contains these toppings and no others. This pizza is distinct from other named pizzas such as la reine, frutti di mare, fiorentina, margherita, sloppy giuseppe, veneziana, american hot, any unclosed pizza, mushroom, pollo ad astra, caprina, cajun, giardiniera, american, prince carlo, siciliana, parmense, rosa, soho, quattro formaggi, four seasons, and napoletana.",gpt-4o,10,35,9,72,22.0,10,9.0,8.0,7.0,1.0,1.0,7.0,7.0,,,,,,,,
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#ChickenTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:chicken_topping a owl:Class ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_spiciness ;
            owl:someValuesFrom :mild ],
        :meat_topping ;
    owl:disjointWith :ham_topping,
        :hot_spiced_beef_topping,
        :peperoni_sausage_topping .

","chicken topping is a type of a meat topping.
chicken topping is a type of at least has spiciness some a mild.
chicken topping is different from (a peperoni sausage topping, and a hot spiced beef topping, and a ham topping).","Chicken topping is a type of meat topping that has a mild level of spiciness. It is different from pepperoni sausage topping, hot spiced beef topping, and ham topping.",gpt-4o,3,9,5,9,3.0,2,2.0,1.0,1.0,,,,,,,,,,,,
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#MeatTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:meat_topping a owl:Class ;
    rdfs:subClassOf :pizza_topping ;
    owl:disjointWith :cheese_topping,
        :fish_topping,
        :fruit_topping,
        :herb_spice_topping,
        :nut_topping,
        :sauce_topping,
        :vegetable_topping .

","meat topping is a type of a pizza topping.
meat topping is different from (a cheese topping, and a fruit topping, and a herb spice topping, and a fish topping, and a nut topping, and a sauce topping, and a vegetable topping).","Meat topping is a type of pizza topping that is distinct from cheese, fruit, herb spice, fish, nut, sauce, and vegetable toppings.",gpt-4o,2,10,3,9,7.0,1,1.0,,,,,,,,,,,,,,
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#AnchoviesTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:anchovies_topping a owl:Class ;
    rdfs:subClassOf :fish_topping ;
    owl:disjointWith :mixed_seafood_topping,
        :prawns_topping .

","anchovies topping is a type of a fish topping.
anchovies topping is different from (a mixed seafood topping, and a prawns topping).","Anchovies topping is a type of fish topping, distinct from both mixed seafood topping and prawns topping.",gpt-4o,2,5,3,4,2.0,1,1.0,,,,,,,,,,,,,,
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Cajun,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cajun a owl:Class ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :tobasco_pepper_sauce ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :onion_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :tomato_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :mozzarella_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :peperonata_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :prawns_topping ],
        [ a owl:Restriction ;
            owl:allValuesFrom [ a owl:Class ;
                    owl:unionOf [ rdf:first :mozzarella_topping ;
                            rdf:rest [ rdf:first :onion_topping ;
                                    rdf:rest [ rdf:first :peperonata_topping ;
                                            rdf:rest [ rdf:first :prawns_topping ;
                                                    rdf:rest [ rdf:first :tobasco_pepper_sauce ;
                                                            rdf:rest [ rdf:first :tomato_topping ;
                                                                    rdf:rest :nil ] ] ] ] ] ] ] ;
            owl:onProperty :has_topping ],
        :named_pizza ;
    owl:disjointWith :american,
        :american_hot,
        :capricciosa,
        :caprina,
        :fiorentina,
        :four_seasons,
        :frutti_di_mare,
        :giardiniera,
        :la_reine,
        :margherita,
        :mushroom,
        :napoletana,
        :parmense,
        :pollo_ad_astra,
        :prince_carlo,
        :quattro_formaggi,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :unclosed_pizza,
        :veneziana .

","cajun is a type of a named pizza.
cajun is a type of at least has topping some a mozzarella topping.
cajun is a type of at least has topping some a peperonata topping.
cajun is a type of at least has topping some a prawns topping.
cajun is a type of at least has topping some a tobasco pepper sauce.
cajun is a type of at least has topping some a tomato topping.
cajun is a type of at least has topping some an onion topping.
cajun is a type of only has topping any of (a mozzarella topping, and an onion topping, and a peperonata topping, and a prawns topping, and a tobasco pepper sauce, and a tomato topping).
cajun is different from (a la reine, and a frutti di mare, and a fiorentina, and a margherita, and a veneziana, and an american hot, and a sloppy giuseppe, and an unclosed pizza, and a mushroom, and a caprina, and a pollo ad astra, and a giardiniera, and an american, and a prince carlo, and a capricciosa, and a siciliana, and a parmense, and a rosa, and a soho, and a quattro formaggi, and a four seasons, and a napoletana).","Cajun is a named type of pizza that includes toppings like mozzarella, peperonata, prawns, Tabasco pepper sauce, tomato, and onion. It exclusively has these toppings and is distinct from other pizzas such as La Reine, Frutti di Mare, Fiorentina, Margherita, Veneziana, American Hot, Sloppy Giuseppe, unclosed pizza, Mushroom, Caprina, Pollo ad Astra, Giardiniera, American, Prince Carlo, Capricciosa, Siciliana, Parmense, Rosa, Soho, Quattro Formaggi, Four Seasons, and Napoletana.",gpt-4o,9,34,9,66,22.0,9,8.0,7.0,6.0,1.0,1.0,6.0,6.0,,,,,,,,
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Parmense,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:parmense a owl:Class ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom [ a owl:Class ;
                    owl:unionOf [ rdf:first :tomato_topping ;
                            rdf:rest [ rdf:first :asparagus_topping ;
                                    rdf:rest [ rdf:first :mozzarella_topping ;
                                            rdf:rest [ rdf:first :parmesan_topping ;
                                                    rdf:rest [ rdf:first :ham_topping ;
                                                            rdf:rest :nil ] ] ] ] ] ] ;
            owl:onProperty :has_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :mozzarella_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :tomato_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :parmesan_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :asparagus_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :ham_topping ],
        :named_pizza ;
    owl:disjointWith :american,
        :american_hot,
        :cajun,
        :capricciosa,
        :caprina,
        :fiorentina,
        :four_seasons,
        :frutti_di_mare,
        :giardiniera,
        :la_reine,
        :margherita,
        :mushroom,
        :napoletana,
        :pollo_ad_astra,
        :prince_carlo,
        :quattro_formaggi,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :unclosed_pizza,
        :veneziana .

","parmense is a type of a named pizza.
parmense is a type of at least has topping some a ham topping.
parmense is a type of at least has topping some a mozzarella topping.
parmense is a type of at least has topping some a parmesan topping.
parmense is a type of at least has topping some a tomato topping.
parmense is a type of at least has topping some an asparagus topping.
parmense is a type of only has topping any of (a tomato topping, and an asparagus topping, and a mozzarella topping, and a parmesan topping, and a ham topping).
parmense is different from (a la reine, and a frutti di mare, and a fiorentina, and a margherita, and an american hot, and a veneziana, and a sloppy giuseppe, and an unclosed pizza, and a mushroom, and a pollo ad astra, and a caprina, and a cajun, and a giardiniera, and an american, and a prince carlo, and a capricciosa, and a siciliana, and a rosa, and a soho, and a quattro formaggi, and a four seasons, and a napoletana).","Parmense is a unique type of named pizza. It includes toppings such as ham, mozzarella, parmesan, tomato, and asparagus. Parmense only has these specific toppings and is distinct from other pizzas like La Reine, Frutti di Mare, Fiorentina, Margherita, American Hot, Veneziana, Sloppy Giuseppe, any unclosed pizza, Mushroom, Pollo Ad Astra, Caprina, Cajun, Giardiniera, American, Prince Carlo, Capricciosa, Siciliana, Rosa, Soho, Quattro Formaggi, Four Seasons, and Napoletana.",gpt-4o,8,33,9,60,22.0,8,7.0,6.0,5.0,1.0,1.0,5.0,5.0,,,,,,,,
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#FruttiDiMare,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:frutti_di_mare a owl:Class ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom [ a owl:Class ;
                    owl:unionOf [ rdf:first :garlic_topping ;
                            rdf:rest [ rdf:first :mixed_seafood_topping ;
                                    rdf:rest [ rdf:first :tomato_topping ;
                                            rdf:rest :nil ] ] ] ] ;
            owl:onProperty :has_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :tomato_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :mixed_seafood_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :garlic_topping ],
        :named_pizza ;
    owl:disjointWith :american,
        :american_hot,
        :cajun,
        :capricciosa,
        :caprina,
        :fiorentina,
        :four_seasons,
        :giardiniera,
        :la_reine,
        :margherita,
        :mushroom,
        :napoletana,
        :parmense,
        :pollo_ad_astra,
        :prince_carlo,
        :quattro_formaggi,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :unclosed_pizza,
        :veneziana .

","frutti di mare is a type of a named pizza.
frutti di mare is a type of at least has topping some a garlic topping.
frutti di mare is a type of at least has topping some a mixed seafood topping.
frutti di mare is a type of at least has topping some a tomato topping.
frutti di mare is a type of only has topping any of (a garlic topping, and a mixed seafood topping, and a tomato topping).
frutti di mare is different from (a la reine, and a fiorentina, and a margherita, and a sloppy giuseppe, and a veneziana, and an american hot, and an unclosed pizza, and a mushroom, and a pollo ad astra, and a caprina, and a cajun, and a giardiniera, and an american, and a prince carlo, and a capricciosa, and a siciliana, and a parmense, and a rosa, and a soho, and a quattro formaggi, and a four seasons, and a napoletana).","Frutti di mare is a named type of pizza that includes garlic, mixed seafood, and tomato toppings. It only includes these specific toppings and is distinct from other pizzas such as la reine, fiorentina, margherita, sloppy giuseppe, veneziana, american hot, unclosed pizza, mushroom, pollo ad astra, caprina, cajun, giardiniera, american, prince carlo, capricciosa, siciliana, parmense, rosa, soho, quattro formaggi, four seasons, and napoletana.",gpt-4o,6,31,9,48,22.0,6,5.0,4.0,3.0,1.0,1.0,3.0,3.0,,,,,,,,
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Spiciness,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:spiciness a owl:Class ;
    rdfs:comment ""A ValuePartition that describes only values from Hot, Medium or Mild. NB Subclasses can themselves be divided up into further partitions.""@en ;
    rdfs:subClassOf :value_partition ;
    owl:equivalentClass [ a owl:Class ;
            owl:unionOf [ rdf:first :hot ;
                    rdf:rest [ rdf:first :medium ;
                            rdf:rest [ rdf:first :mild ;
                                    rdf:rest :nil ] ] ] ] .

","spiciness is a type of a value partition.
spiciness is same as any of (a hot, and a medium, and a mild).","Spiciness is a type of value partition that can be categorized as hot, medium, or mild.",gpt-4o,2,7,7,12,,2,1.0,,,,1.0,3.0,3.0,1.0,1.0,,,,,,
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#FruitTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:fruit_topping a owl:Class ;
    rdfs:subClassOf :pizza_topping ;
    owl:disjointWith :cheese_topping,
        :fish_topping,
        :herb_spice_topping,
        :meat_topping,
        :nut_topping,
        :sauce_topping,
        :vegetable_topping .

","fruit topping is a type of a pizza topping.
fruit topping is different from (a cheese topping, and a herb spice topping, and a meat topping, and a fish topping, and a sauce topping, and a nut topping, and a vegetable topping).","Fruit topping is a type of pizza topping that is distinct from cheese topping, herb spice topping, meat topping, fish topping, sauce topping, nut topping, and vegetable topping.",gpt-4o,2,10,3,9,7.0,1,1.0,,,,,,,,,,,,,,
