ontology,root,fragment,text,llm_text,model,statements,unique_concepts,unique_relationships,total_relationships,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2002/07/owl#intersectionOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/2002/07/owl#onProperty,http://www.w3.org/2002/07/owl#someValuesFrom,http://www.w3.org/2002/07/owl#onDatatype,http://www.w3.org/2002/07/owl#withRestrictions,http://www.w3.org/2001/XMLSchema#minExclusive,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#disjointWith,http://www.w3.org/2002/07/owl#hasValue,http://www.w3.org/2001/XMLSchema#maxExclusive,http://www.w3.org/2002/07/owl#oneOf,http://www.w3.org/2002/07/owl#maxQualifiedCardinality,http://www.w3.org/2002/07/owl#onClass,http://www.w3.org/2002/07/owl#minQualifiedCardinality,http://www.semanticweb.org/mdebe/ontologies/example#has_Age,http://www.semanticweb.org/mdebe/ontologies/example#has_Friend,http://www.semanticweb.org/mdebe/ontologies/example#has_Gender,http://www.semanticweb.org/mdebe/ontologies/example#has_Brother,http://www.semanticweb.org/mdebe/ontologies/example#has_Daughter,http://www.semanticweb.org/mdebe/ontologies/example#has_Sister,http://www.semanticweb.org/mdebe/ontologies/example#has_Wife
people,http://www.semanticweb.org/mdebe/ontologies/example#Adult,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:adult a owl:Class ;
    rdfs:subClassOf :person ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :person ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :has__age ;
                                    owl:someValuesFrom [ a :datatype ;
                                            owl:onDatatype :integer ;
                                            owl:withRestrictions [ rdf:first [ :min_exclusive 18 ] ;
                                                    rdf:rest :nil ] ] ] ;
                            rdf:rest :nil ] ] ] .

","adult is a type of a person.
adult is same as all of (a person, and at least has age some must be min exclusive 18).","An adult is a type of person that meets the criteria: they are a person, and their age must be at least 18 years old.",llama3,2,8,11,18,4,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Boy,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:boy a owl:Class ;
    rdfs:subClassOf :child ;
    owl:disjointWith :girl ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :child ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:hasValue :male ;
                                    owl:onProperty :has__gender ] ;
                            rdf:rest :nil ] ] ] .

","boy is a type of a child.
boy is different from a girl.
boy is same as all of (a child, and must has gender a male).","A boy is a type of child, specifically one that possesses the characteristic of being male. He differs from a girl in terms of his gender, which is inherently masculine. In essence, a boy is synonymous with a young male child.",llama3,3,8,9,13,3,1.0,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Child,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:child a owl:Class ;
    rdfs:subClassOf :person ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :person ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :has__age ;
                                    owl:someValuesFrom [ a :datatype ;
                                            owl:onDatatype :integer ;
                                            owl:withRestrictions [ rdf:first [ :max_exclusive 18 ] ;
                                                    rdf:rest :nil ] ] ] ;
                            rdf:rest :nil ] ] ] .

","child is a type of a person.
child is same as all of (a person, and at least has age some must be max exclusive 18).",A child is the same as a person who is no older than 18 years old.,llama3,2,8,11,18,4,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Gender,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .

:gender a owl:Class ;
    owl:equivalentClass [ a owl:Class ;
            owl:oneOf [ rdf:first :female ;
                    rdf:rest [ rdf:first :male ;
                            rdf:rest :nil ] ] ] .

","gender is same as one of (a female, and a male).",Gender is the same as being either female or male.,llama3,1,5,5,8,2,1.0,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Girl,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:girl a owl:Class ;
    rdfs:subClassOf :child ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :child ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:hasValue :female ;
                                    owl:onProperty :has__gender ] ;
                            rdf:rest :nil ] ] ] .

","girl is a type of a child.
girl is same as all of (a child, and must has gender a female).","A girl is a type of child, specifically one that possesses the characteristic of being female.",llama3,2,7,8,12,3,1.0,1.0,2.0,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Hermit,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:hermit a owl:Class ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :person ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:maxQualifiedCardinality ""0""^^xsd:nonNegativeInteger ;
                                    owl:onClass :person ;
                                    owl:onProperty :has__social__relation__with ] ;
                            rdf:rest :nil ] ] ] .

","hermit is same as all of (a person, and has at most 0 person social relation with).",A hermit is a person who has no more than zero social relationships with other people.,llama3,1,6,8,12,3,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Man,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .

:man a owl:Class ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :adult ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:hasValue :male ;
                                    owl:onProperty :has__gender ] ;
                            rdf:rest :nil ] ] ] .

","man is same as all of (an adult, and must has gender a male).",A man is the same as an adult who possesses the characteristic of being male.,llama3,1,7,7,11,3,1.0,1.0,2.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Parent,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .

:parent a owl:Class ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :adult ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :has__child ;
                                    owl:someValuesFrom :person ] ;
                            rdf:rest :nil ] ] ] .

","parent is same as all of (an adult, and at least has child some a person).","A parent is the same as an adult who has at least one child, which is also a person.",llama3,1,7,7,11,3,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Person,"@prefix owl: <http://www.w3.org/2002/07/owl#> .

:person a owl:Class .

",,,llama3,0,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Social_Person,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:social_person a owl:Class ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :person ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:minQualifiedCardinality ""5""^^xsd:nonNegativeInteger ;
                                    owl:onClass :person ;
                                    owl:onProperty :has__social__relation__with ] ;
                            rdf:rest :nil ] ] ] .

","social person is same as all of (a person, and has at least 5 person social relation withs).",A social person is the same as someone who is a person and has at least five social relationships with other people.,llama3,1,6,8,12,3,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,
